Make,Variant,"Length 
(ft)",Geographic Region,Country/Region/State ,Listing Price (USD),Year,宽度（米）,排水量（千克）,面积排水比（SA/Disp）,燃油容量（升）,水容量（升）,帆具类型,Mast Height from DWL（离水线至桅杆顶部的高度）
Fountaine Pajot,Lavezzi 40,39,Caribbean,Mexico,210000,2005,6.7,7500,17.11,250,530,Fractional sloop,17.5
Leopard,40,39,Caribbean,Panama,200000,2005,6.72,8900,18.2,350,780,Sloop,
Lagoon,410,40.5,Caribbean,Grenada,225000,2005,7.4,8600,18.5,200,700,Fractional Sloop,18
Lagoon,410-S2,40.5,Europe,Spain,303395,2005,7.4,8000,20.8,200,780,Fractional,18.45
Lagoon,410-S2,40.5,Europe,Turkey,231042,2005,7.4,8000,20.8,200,780,Fractional,18.45
Lagoon,410,40.5,USA,Florida,235000,2005,7.4,8600,18.5,200,700,Fractional Sloop,18
Broadblue,415,42,Caribbean,Grenada,330000,2005,6.6,10800,17.2,450,600,Fractional,20
Manta,42 MK II,42,USA,Florida,269500,2005,6.74,11000,17.36,720,750,Manta,
Manta,42 MK II,42,USA,Florida,249900,2005,6.74,11000,17.36,720,750,Manta,
Manta,42 MK II,42,USA,Florida,249900,2005,6.74,11000,17.36,720,750,Manta,
Knysna,440,44,Caribbean,Grenada,230000,2005,7.4,11500,18.87,400,600,Sloop,20.4
Fountaine Pajot,Bahia 46,46,Caribbean,Martinique,254636,2005,7.4,10800,18.26,470,700,Fractional sloop,19.5
Fountaine Pajot,Bahia 46,46,USA,Florida,229000,2005,7.4,10800,18.26,470,700,Fractional sloop,19.5
Fountaine Pajot,Athena 38,38,Europe,Croatia,163694,2006,6.3,6500,18.9,250,600,Sloop,16.5
Fountaine Pajot,Athena 38,38,Europe,Croatia,146864,2006,6.3,6500,18.9,250,600,Sloop,16.5
Fountaine Pajot,Athena 38,38,Europe,Croatia,146719,2006,6.3,6500,18.9,250,600,Sloop,16.5
Fountaine Pajot,Athena 38,38,Europe,Croatia,140188,2006,6.3,6500,18.9,250,600,Sloop,16.5
Fountaine Pajot,Athena 38,38,Europe,Croatia,133138,2006,6.3,6500,18.9,250,600,Sloop,16.5
Fountaine Pajot,Lavezzi 40,39,Europe,Greece,200642,2006,6.7,7500,17.11,250,530,Fractional sloop,17.5
Fountaine Pajot,Lavezzi 40,39,Europe,Italy,188482,2006,6.7,7500,17.11,250,530,Fractional sloop,17.5
Fountaine Pajot,Lavezzi 40,39,USA,Texas,219000,2006,6.7,7500,17.11,250,530,Fractional sloop,17.5
Nautitech,402,40,USA,Florida,199990,2006,6.3,7500,22.9,400,800,Fractional,18.35
Lagoon,410-S2,40.6,Europe,Spain,302787,2006,7.4,8000,20.8,200,780,Fractional,18.45
Manta,42 MK II,42,USA,Florida,269900,2006,6.74,11000,17.36,720,750,Manta,
