Lagoon-39,22.28 ft / 6.79 m,"25,732 lb / 11,672 kg",15.06,N/A,106 gals / 401 L,60.40 ft / 18.41 m,158 gals / 598 L,Frac. Sloop (Rotating Spar),Catamaran Twin Keel,
Lagoon-440,25.26 ft / 7.70 m,"26,786 lb / 12,150 kg",15.43,0.58,172 gals / 651 L,70.21 ft / 21.40 m,238 gals / 901 L,Fractional  Sloop,Catamaran Twin Keel,Volvo Penta
Lagoon-40,22.18 ft / 6.76 m,"23,997 lb / 10,885 kg",16,0.57,106 gals / 400 L,60.44 ft / 18.42 m,79 gals / 300 L,Fractional  Sloop,Catamaran Twin Keel,Yanmar
Lagoon-500,28.00 ft / 8.53 m,"38,808 lb / 17,603 kg",16.72,0.61,254 gals / 961 L,78.00 ft / 23.77 m,254 gals / 961 L,Fractional  Sloop,Catamaran Twin Keel,Yanmar
Lagoon-52,28.67 ft / 8.74 m,"57,403 lb / 26,038 kg",18.13,N/A,262 gals / 992 L,91.75 ft / 27.97 m,253 gals / 958 L,Fractional  Sloop,Catamaran Twin Keel,
Lagoon-400,23.79 ft / 7.25 m,"22,531 lb / 10,220 kg",18.18,0.61,106 gals / 401 L,66.60 ft / 20.30 m,79 gals / 299 L,Fractional  Sloop,Catamaran Twin Keel,
Leopard-45,24.17 ft / 7.37 m,"32,849 lb / 14,900 kg",18.55,0.62,185 gals / 700 L,,206 gals / 780 L,Frac. Sloop (Rotating Spar),Catamaran Twin Keel,Yanmar
Broadblue-385,19.59 ft / 5.97 m,"15,875 lb / 7,201 kg",19.73,0.66,132 gals / 500 L,,125 gals / 473 L,Fractional  Sloop,Catamaran Twin Keel,Volvo
Lagoon-46,26.12 ft / 7.96 m,"34,767 lb / 15,770 kg",19.97,0.66,"275 gals / 1,040 L",76.15 ft / 23.21 m,159 gals / 600 L,Fractional  Sloop,Catamaran Twin Keel,Yanmar
Lagoon-50,26.57 ft / 8.10 m,"43,995 lb / 19,956 kg",19.99,0.64,"275 gals / 1,040 L",86.98 ft / 26.51 m,127 gals / 480 L,Fractional  Sloop,Catamaran Twin Keel,2x Yanmar
Lagoon-420,24.58 ft / 7.49 m,"16,040 lb / 7,276 kg",20.43,0.71,79 gals / 299 L,,92 gals / 348 L,Fractional  Sloop,Catamaran Twin Keel,
Seawind-1160,21.33 ft / 6.50 m,"15,432 lb / 7,000 kg",20.91,0.7,95 gals / 360 L,,185 gals / 700 L,Fractional  Sloop,Catamaran Twin Keel,
Lagoon-380,21.42 ft / 6.53 m,"16,005 lb / 7,260 kg",20.96,0.68,53 gals / 200 L,56.83 ft / 17.32 m,79 gals / 300 L,Fractional  Sloop,Catamaran Twin Keel,Yanmar or Volvo
Leopard-39,19.75 ft / 6.02 m,"20,120 lb / 9,126 kg",21.52,0.67,92 gals / 348 L,62.67 ft / 19.10 m,206 gals / 780 L,Frac. Sloop (Rotating Spar),Catamaran Twin Keel,Yanmar
