Nauticat-441,12.30 ft / 3.75 m,"36,376 lb / 16,500 kg",13.56,222 gals / 840 L,164 gals / 620 L,Masthead  Ketch,Yanmar,Long Keel,57.41 ft / 17.50 m
Wauquiez-Pilot-Saloon-40,13.25 ft / 4.04 m,"22,046 lb / 10,000 kg",14.01,58 gals / 220 L,116 gals / 439 L,Masthead Sloop,Yanmar,Fin w/bulb & spade rudder,
Wauquiez-Pilot-Saloon-41,13.25 ft / 4.04 m,"22,046 lb / 10,000 kg",14.1,58 gals / 220 L,116 gals / 439 L,Masthead Sloop,Yanmar,Fin w/bulb & spade rudder,
Southerly-420,13.22 ft / 4.03 m,"26,014 lb / 11,800 kg",14.36,79 gals / 299 L,150 gals / 568 L,Fractional  Sloop,Yanmar,Swing Keel,61.42 ft / 18.72 m
Discovery-55,15.68 ft / 4.78 m,"49,604 lb / 22,500 kg",14.74,"352 gals / 1,334 L","266 gals / 1,008 L",Masthead Sloop,Yanmar,Fin with rudder on skeg,77.16 ft / 23.52 m
Najad-380,11.97 ft / 3.65 m,"20,062 lb / 9,100 kg",15.03,86 gals / 326 L,106 gals / 401 L,Fractional  Sloop,Yanmar,Fin with rudder on skeg,58.25 ft / 17.75 m
Island-Packet-420,14.25 ft / 4.34 m,"30,000 lb / 13,608 kg",15.38,160 gals / 606 L,250 gals / 946 L,Cutter,Yanmar,Long Keel,58.83 ft / 17.93 m
Oyster-46,14.00 ft / 4.27 m,"31,980 lb / 14,506 kg",15.63,120 gals / 454 L,144 gals / 545 L,Staysail Ketch,Perkins,Fin with rudder on skeg,
Beneteau-40,12.83 ft / 3.91 m,"18,210 lb / 8,260 kg",15.73,53 gals / 201 L,100 gals / 379 L,Fractional  Sloop,Yanmar,Fin w/bulb & spade rudder,
Moody-49,14.44 ft / 4.40 m,"34,612 lb / 15,700 kg",15.75,139 gals / 526 L,211 gals / 799 L,Cutter,Yanmar,Fin w/spade rudder,
Southerly-38,13.00 ft / 3.96 m,"21,872 lb / 9,921 kg",15.81,54 gals / 204 L,59 gals / 223 L,Fractional  Sloop,Yanmar,Swing Keel,61.83 ft / 18.85 m
Bestevaer-49ST,14.44 ft / 4.40 m,"37,479 lb / 17,000 kg",16.17,188 gals / 710 L,211 gals / 800 L,Fractional (9/10) Sloop,Yanmar,Fin w/bulb & spade rudder,72.18 ft / 22.00 m
Catalina-387,12.34 ft / 3.76 m,"19,000 lb / 8,618 kg",16.24,37 gals / 140 L,102 gals / 386 L,Masthead Sloop,Yanmar,Fin w/spade rudder,56.00 ft / 17.07 m
Island-Packet-445,14.33 ft / 4.37 m,"34,500 lb / 15,649 kg",16.28,160 gals / 606 L,260 gals / 984 L,Cutter,,Long Keel,62.00 ft / 18.90 m
Hallberg-Rassy-54,15.42 ft / 4.70 m,"57,981 lb / 26,300 kg",16.34,238 gals / 901 L,"272 gals / 1,030 L",Masthead Sloop,Volvo Penta,Fin w/spade rudder,80.38 ft / 24.50 m
Delphia-40,12.93 ft / 3.94 m,"18,188 lb / 8,250 kg",16.39,55 gals / 208 L,92 gals / 348 L,Fractional  Sloop,Volvo,Fin w/bulb & spade rudder,55.75 ft / 16.99 m
Rustler-44,13.78 ft / 4.20 m,"30,203 lb / 13,700 kg",16.45,120 gals / 455 L,193 gals / 730 L,Cutter,Nanni,Fin with rudder on skeg,64.30 ft / 19.60 m
Malo-40,12.57 ft / 3.83 m,"20,900 lb / 9,480 kg",16.51,69 gals / 261 L,120 gals / 454 L,Masthead Sloop,Yanmar,Fin w/spade rudder,
