Unnamed: 0,Make,Variant,"Length
(ft)",GeographicRegion,Country/Region/State,ListingPrice(USD),Year,宽度（米）,排水量（千克）,面积排水比（SA/Disp）,燃油容量（升）,水容量（升）,帆具类型,MastHeightfromDWL（离水线至桅杆顶部的高度）,经济总量(亿美元),经济增速(%),海岸线长度(千米),人口密度(人/km²),通货膨胀率(%)
131.0,10.0,34.0,52.0,1.0,27.0,675000.0,2012.0,8.53,15500.0,23.77,1000.0,1000.0,10.0,23.6,,,,,
261.0,1.0,41.0,49.0,1.0,7.0,601884.0,2016.0,7.99,14000.0,18.8,940.0,700.0,2.0,,9.5,-7.2,350.0,346.6,1.1
262.0,1.0,41.0,49.0,1.0,7.0,595804.0,2016.0,7.99,14000.0,18.8,940.0,700.0,2.0,,9.5,-7.2,350.0,346.6,1.1
263.0,1.0,41.0,49.0,1.0,19.0,595000.0,2016.0,7.99,14000.0,18.8,940.0,700.0,2.0,,,,80.0,202.8,
280.0,3.0,32.0,42.5,2.0,4.0,546613.0,2017.0,7.7,12600.0,18.75,300.0,600.0,2.0,19.8,1391.8,2.0,4964.0,93.0,0.5
281.0,3.0,32.0,42.5,2.0,4.0,545648.0,2017.0,7.7,12600.0,18.75,300.0,600.0,2.0,19.8,1391.8,2.0,4964.0,93.0,0.5
28.0,8.0,13.0,47.0,1.0,12.0,516769.0,2006.0,7.6,11500.0,20.24,800.0,800.0,1.0,20.5,84.5,-1.5,400.0,167.0,4.0
166.0,3.0,26.0,42.0,1.0,1.0,440000.0,2014.0,7.5,12100.0,16.5,600.0,900.0,4.0,19.45,1316.0,-8.5,9330.0,66.4,4.7
295.0,3.0,49.0,45.8,2.0,23.0,600000.0,2017.0,13.96,16800.0,9.0,1040.0,700.0,2.0,7.87,237.0,2.4,1793.0,112.0,0.5
296.0,3.0,49.0,45.8,2.0,23.0,600000.0,2017.0,13.96,16800.0,9.0,1040.0,700.0,2.0,7.87,237.0,2.4,1793.0,112.0,0.5
175.0,1.0,41.0,49.0,1.0,7.0,589724.0,2014.0,7.99,14000.0,18.8,940.0,700.0,2.0,,9.5,-7.2,350.0,346.6,1.1
308.0,1.0,52.0,39.0,2.0,9.0,398929.0,2018.0,6.7,10500.0,17.5,300.0,530.0,2.0,17.2,200.2,2.2,13676.0,81.0,0.6
318.0,3.0,32.0,42.5,1.0,7.0,484286.0,2018.0,7.7,12600.0,18.75,300.0,600.0,2.0,19.8,9.5,-7.2,350.0,346.6,1.1
195.0,1.0,33.0,43.6,2.0,10.0,510689.0,2015.0,7.54,11300.0,19.94,700.0,700.0,9.0,,1949.3,1.5,7600.0,202.0,0.7
196.0,1.0,33.0,43.6,2.0,17.0,510689.0,2015.0,7.54,11300.0,19.94,700.0,700.0,9.0,,3038.8,2.3,3427.0,119.0,1.1
197.0,1.0,33.0,43.6,2.0,10.0,509775.0,2015.0,7.54,11300.0,19.94,700.0,700.0,9.0,,1949.3,1.5,7600.0,202.0,0.7
334.0,12.0,66.0,48.7,3.0,6.0,990000.0,2018.0,8.23,12247.0,23.0,600.0,380.0,1.0,22.25,1.1,4.6,1350.0,145.0,3.4
209.0,1.0,41.0,49.0,1.0,7.0,601884.0,2015.0,7.99,14000.0,18.8,940.0,700.0,2.0,,9.5,-7.2,350.0,346.6,1.1
210.0,1.0,41.0,49.0,1.0,7.0,589724.0,2015.0,7.99,14000.0,18.8,940.0,700.0,2.0,,9.5,-7.2,350.0,346.6,1.1
211.0,1.0,41.0,49.0,1.0,7.0,589343.0,2015.0,7.99,14000.0,18.8,940.0,700.0,2.0,,9.5,-7.2,350.0,346.6,1.1
85.0,3.0,26.0,42.0,2.0,5.0,437734.0,2010.0,7.5,12100.0,16.5,600.0,900.0,4.0,19.45,771.0,5.2,8333.0,107.0,14.6
98.0,11.0,29.0,44.0,3.0,6.0,525000.0,2010.0,13.46,11500.0,9.0,700.0,750.0,2.0,7.54,1.1,4.6,1350.0,145.0,3.4
99.0,11.0,29.0,44.0,3.0,6.0,495000.0,2010.0,13.46,11500.0,9.0,700.0,750.0,2.0,7.54,1.1,4.6,1350.0,145.0,3.4
354.0,1.0,69.0,41.0,3.0,6.0,499000.0,2019.0,7.2,11000.0,20.1,470.0,530.0,3.0,18.6,1.1,4.6,1350.0,145.0,3.4
229.0,3.0,35.0,39.0,2.0,5.0,400850.0,2016.0,7.25,10900.0,20.5,400.0,600.0,2.0,,771.0,5.2,8333.0,107.0,14.6
