length,ListingPrice,Year,Bea,Displacement,S.A./Disp.,FuelCapacity,Water,RiggingType,DWL
41.0,267233.0,2005.0,4.32,10500.0,14.97,240.0,600.0,1.0,18.4
56.0,461603.0,2005.0,5.2,18600.0,18.98,480.0,1000.0,10.0,24.28
46.0,270000.0,2005.0,3.9,12500.0,16.3,340.0,800.0,11.0,17.83
40.0,195000.0,2005.0,3.63,7560.0,20.08,189.0,162.0,15.0,19.0
49.0,335000.0,2005.0,4.5,13000.0,17.15,240.0,620.0,13.0,19.48
49.0,255000.0,2005.0,4.49,11900.0,17.28,240.0,700.0,1.0,19.5
44.0,351047.0,2005.0,3.91,13000.0,17.59,400.0,400.0,21.0,18.21
46.0,393128.0,2005.0,4.33,16000.0,15.97,440.0,530.0,1.0,19.85
48.0,479000.0,2005.0,4.42,14970.0,16.8,400.0,750.0,19.0,22.3
53.0,399651.0,2005.0,4.75,18000.0,17.1,700.0,1000.0,22.0,22.25
40.0,200476.0,2005.0,3.81,8280.0,18.7,200.0,340.0,16.0,17.98
50.0,334042.0,2005.0,4.63,14000.0,21.09,400.0,600.0,2.0,24.5
44.0,358287.0,2006.0,4.1,14000.0,16.27,480.0,680.0,19.0,17.8
39.0,59520.0,2006.0,3.97,8300.0,16.36,210.0,360.0,3.0,17.75
47.0,299000.0,2006.0,4.31,12000.0,16.8,237.0,1000.0,8.0,17.9
53.0,361980.0,2006.0,4.88,15500.0,15.09,450.0,1000.0,6.0,23.37
46.0,349000.0,2006.0,3.9,12500.0,16.3,340.0,800.0,11.0,17.83
52.0,533252.0,2006.0,4.75,18597.0,14.74,757.0,1213.0,19.0,20.73
40.0,189000.0,2006.0,3.63,7560.0,20.08,189.0,162.0,15.0,19.0
49.0,278165.0,2006.0,4.5,13000.0,17.15,240.0,620.0,13.0,19.48
49.0,279900.0,2006.0,4.49,11900.0,17.28,240.0,700.0,1.0,19.5
44.0,413104.0,2006.0,4.2,14200.0,16.49,500.0,600.0,19.0,18.6
47.0,489000.0,2006.0,4.5,15000.0,15.5,700.0,900.0,11.0,19.5
51.0,635000.0,2006.0,4.5,16000.0,14.88,800.0,900.0,19.0,19.5
40.0,180990.0,2006.0,3.81,7900.0,19.5,200.0,320.0,12.0,18.8
40.0,212572.0,2006.0,3.81,7900.0,19.5,200.0,320.0,12.0,18.8
50.0,425144.0,2006.0,4.63,14000.0,21.09,400.0,600.0,2.0,24.5
50.0,358209.0,2006.0,4.57,15000.0,21.44,400.0,900.0,1.0,22.2
50.0,388703.0,2006.0,4.63,14000.0,21.09,400.0,600.0,2.0,24.5
49.0,299900.0,2007.0,4.47,12695.0,21.5,400.0,570.0,4.0,20.0
46.0,274000.0,2007.0,3.9,12500.0,16.3,340.0,800.0,11.0,17.83
48.0,339950.0,2007.0,4.47,14780.0,16.2,725.0,900.0,19.0,18.59
48.0,389900.0,2007.0,4.29,16300.0,15.52,675.0,1300.0,6.0,19.15
43.0,224719.0,2007.0,4.2,9400.0,20.6,220.0,360.0,16.0,20.14
55.0,473751.0,2007.0,4.91,21500.0,18.26,500.0,695.0,13.0,28.17
55.0,473732.0,2007.0,4.91,21500.0,18.26,500.0,695.0,13.0,28.17
52.0,447000.0,2007.0,4.75,18597.0,14.74,757.0,1213.0,19.0,20.73
40.0,191363.0,2007.0,3.63,7560.0,20.08,189.0,162.0,15.0,19.0
40.0,425144.0,2007.0,3.86,10000.0,16.52,230.0,375.0,15.0,17.7
46.0,546613.0,2007.0,4.14,14500.0,17.69,220.0,397.0,2.0,19.0
53.0,646174.0,2007.0,4.88,22680.0,15.34,900.0,950.0,9.0,21.7
42.0,206498.0,2007.0,4.07,8400.0,20.8,240.0,420.0,4.0,19.85
42.0,205284.0,2007.0,4.07,8400.0,20.8,240.0,420.0,4.0,19.85
53.0,388703.0,2007.0,4.73,13000.0,19.0,400.0,900.0,12.0,22.5
52.0,425161.0,2007.0,4.5,14000.0,16.8,280.0,600.0,32.0,22.3
52.0,425144.0,2007.0,4.5,14000.0,16.8,280.0,600.0,32.0,22.3
40.0,184634.0,2007.0,3.81,7900.0,19.5,200.0,320.0,12.0,18.8
40.0,182204.0,2007.0,3.81,7900.0,19.5,200.0,320.0,12.0,18.8
40.0,180990.0,2007.0,3.81,7900.0,19.5,200.0,320.0,12.0,18.8
41.0,224776.0,2007.0,3.95,8560.0,20.0,200.0,340.0,16.0,19.42
41.0,206470.0,2007.0,3.95,8560.0,20.0,200.0,340.0,16.0,19.42
55.0,570907.0,2007.0,4.97,18500.0,20.0,500.0,608.0,4.0,28.2
43.0,188278.0,2008.0,4.12,8600.0,16.31,200.0,360.0,1.0,17.4
49.0,302472.0,2008.0,4.47,12695.0,21.5,400.0,570.0,4.0,20.0
49.0,298827.0,2008.0,4.47,12695.0,21.5,400.0,570.0,4.0,20.0
49.0,309760.0,2008.0,4.47,12695.0,21.5,400.0,570.0,4.0,20.0
49.0,297613.0,2008.0,4.47,12400.0,21.1,400.0,630.0,3.0,22.3
53.0,425144.0,2008.0,4.88,15500.0,15.09,450.0,1000.0,6.0,23.37
43.0,239295.0,2008.0,4.2,9400.0,20.6,220.0,360.0,16.0,20.14
43.0,224719.0,2008.0,4.2,9400.0,20.6,220.0,360.0,16.0,20.14
49.0,330000.0,2008.0,4.57,15000.0,15.46,757.0,757.0,30.0,17.98
40.0,212572.0,2008.0,3.63,7560.0,20.08,189.0,162.0,15.0,19.0
40.0,206498.0,2008.0,3.63,7560.0,20.08,189.0,162.0,15.0,19.0
40.0,204121.0,2008.0,3.63,7560.0,20.08,189.0,162.0,15.0,19.0
42.0,495000.0,2008.0,3.94,10432.0,19.4,130.0,300.0,25.0,17.68
54.0,792729.0,2008.0,4.57,21500.0,15.1,1200.0,960.0,19.0,22.58
47.0,524500.0,2008.0,4.57,17010.0,16.9,605.0,1200.0,11.0,19.3
53.0,382629.0,2008.0,4.73,13000.0,19.0,400.0,900.0,12.0,22.5
53.0,364424.0,2008.0,4.73,13000.0,19.0,400.0,900.0,12.0,22.5
53.0,297601.0,2008.0,4.73,13000.0,19.0,400.0,900.0,12.0,22.5
54.0,727025.0,2008.0,4.62,20000.0,17.27,500.0,500.0,21.0,22.32
40.0,212383.0,2008.0,4.05,8900.0,19.4,200.0,480.0,23.0,17.4
41.0,218645.0,2008.0,3.5,7800.0,24.0,200.0,340.0,4.0,19.95
50.0,419070.0,2008.0,4.6,15000.0,23.08,300.0,600.0,1.0,22.0
39.0,151876.0,2009.0,3.85,5900.0,26.3,150.0,200.0,28.0,17.7
39.0,151816.0,2009.0,3.85,5900.0,26.3,150.0,200.0,28.0,17.7
40.0,182204.0,2009.0,3.89,7900.0,20.2,130.0,330.0,25.0,18.9
40.0,182204.0,2009.0,3.89,7750.0,21.1,130.0,360.0,25.0,19.18
