Unnamed: 0,Make,Variant,"Length
(ft)",GeographicRegion,Country/Region/State,ListingPrice(USD),Year,Bea（船宽）,Displacement（排水量）,S.A./Disp.（帆面积与排水量之比）,燃料容量,水容量,RiggingType（索具类型）,astHeightfroDWL,经济总量(亿美元),经济增速(%),海岸线长度(千米),人口密度(人/km²),通货膨胀率(%)
0.0,1.0,1.0,41.0,1.0,1.0,267233.0,2005.0,4.32,10500.0,14.97,240.0,600.0,1.0,18.4,3038.8,2.3,3427.0,119.0,1.1
48.0,3.0,20.0,56.0,1.0,5.0,461603.0,2005.0,5.2,18600.0,18.98,480.0,1000.0,10.0,24.28,1391.8,2.0,4964.0,93.0,0.5
50.0,5.0,22.0,46.0,2.0,17.0,270000.0,2005.0,3.9,12500.0,16.3,340.0,800.0,11.0,17.83,,,,,
77.0,13.0,42.0,40.0,2.0,14.0,195000.0,2005.0,3.63,7560.0,20.08,189.0,162.0,15.0,19.0,3.0,3.9,1350.0,97.0,3.3
91.0,14.0,47.0,49.0,2.0,14.0,335000.0,2005.0,4.5,13000.0,17.15,240.0,620.0,13.0,19.48,3.0,3.9,1350.0,97.0,3.3
102.0,14.0,48.0,49.0,2.0,26.0,255000.0,2005.0,4.49,11900.0,17.28,240.0,700.0,1.0,19.5,0.6,4.4,4624.0,41.0,1.8
110.0,15.0,50.0,44.0,1.0,12.0,351047.0,2005.0,3.91,13000.0,17.59,400.0,400.0,21.0,18.21,902.3,3.0,451.0,508.0,1.3
111.0,15.0,51.0,46.0,1.0,21.0,393128.0,2005.0,4.33,16000.0,15.97,440.0,530.0,1.0,19.85,,,,,
112.0,16.0,52.0,48.0,2.0,14.0,479000.0,2005.0,4.42,14970.0,16.8,400.0,750.0,19.0,22.3,3.0,3.9,1350.0,97.0,3.3
114.0,18.0,54.0,53.0,1.0,5.0,399651.0,2005.0,4.75,18000.0,17.1,700.0,1000.0,22.0,22.25,1391.8,2.0,4964.0,93.0,0.5
122.0,21.0,57.0,40.0,1.0,12.0,200476.0,2005.0,3.81,8280.0,18.7,200.0,340.0,16.0,17.98,902.3,3.0,451.0,508.0,1.3
123.0,21.0,58.0,50.0,1.0,4.0,334042.0,2005.0,4.63,14000.0,21.09,400.0,600.0,2.0,24.5,1949.3,1.5,7600.0,202.0,0.7
124.0,22.0,29.0,44.0,1.0,1.0,358287.0,2006.0,4.1,14000.0,16.27,480.0,680.0,19.0,17.8,3038.8,2.3,3427.0,119.0,1.1
132.0,2.0,3.0,39.0,1.0,29.0,59520.0,2006.0,3.97,8300.0,16.36,210.0,360.0,3.0,17.75,54.2,4.4,46.0,103.0,1.2
173.0,3.0,16.0,47.0,2.0,33.0,299000.0,2006.0,4.31,12000.0,16.8,237.0,1000.0,8.0,17.9,,,,,
196.0,3.0,18.0,53.0,1.0,5.0,361980.0,2006.0,4.88,15500.0,15.09,450.0,1000.0,6.0,23.37,1391.8,2.0,4964.0,93.0,0.5
201.0,5.0,22.0,46.0,2.0,17.0,349000.0,2006.0,3.9,12500.0,16.3,340.0,800.0,11.0,17.83,,,,,
242.0,12.0,78.0,52.0,1.0,12.0,533252.0,2006.0,4.75,18597.0,14.74,757.0,1213.0,19.0,20.73,902.3,3.0,451.0,508.0,1.3
243.0,13.0,42.0,40.0,2.0,14.0,189000.0,2006.0,3.63,7560.0,20.08,189.0,162.0,15.0,19.0,3.0,3.9,1350.0,97.0,3.3
266.0,14.0,47.0,49.0,2.0,6.0,278165.0,2006.0,4.5,13000.0,17.15,240.0,620.0,13.0,19.48,1.1,4.6,1350.0,145.0,3.4
272.0,14.0,48.0,49.0,2.0,25.0,279900.0,2006.0,4.49,11900.0,17.28,240.0,700.0,1.0,19.5,,,,,
278.0,24.0,82.0,44.0,1.0,21.0,413104.0,2006.0,4.2,14200.0,16.49,500.0,600.0,19.0,18.6,,,,,
280.0,26.0,84.0,47.0,2.0,11.0,489000.0,2006.0,4.5,15000.0,15.5,700.0,900.0,11.0,19.5,0.4,1.9,5313.0,238.0,1.8
281.0,26.0,85.0,51.0,2.0,11.0,635000.0,2006.0,4.5,16000.0,14.88,800.0,900.0,19.0,19.5,0.4,1.9,5313.0,238.0,1.8
283.0,21.0,86.0,40.0,1.0,1.0,180990.0,2006.0,3.81,7900.0,19.5,200.0,320.0,12.0,18.8,3038.8,2.3,3427.0,119.0,1.1
284.0,21.0,86.0,40.0,1.0,4.0,212572.0,2006.0,3.81,7900.0,19.5,200.0,320.0,12.0,18.8,1949.3,1.5,7600.0,202.0,0.7
286.0,21.0,58.0,50.0,1.0,39.0,425144.0,2006.0,4.63,14000.0,21.09,400.0,600.0,2.0,24.5,534.2,1.8,66.0,382.0,0.7
287.0,21.0,35.0,50.0,1.0,37.0,358209.0,2006.0,4.57,15000.0,21.44,400.0,900.0,1.0,22.2,306.1,3.0,7314.0,137.0,0.8
288.0,21.0,58.0,50.0,1.0,1.0,388703.0,2006.0,4.63,14000.0,21.09,400.0,600.0,2.0,24.5,3038.8,2.3,3427.0,119.0,1.1
335.0,3.0,60.0,49.0,2.0,14.0,299900.0,2007.0,4.47,12695.0,21.5,400.0,570.0,4.0,20.0,3.0,3.9,1350.0,97.0,3.3
353.0,5.0,22.0,46.0,2.0,31.0,274000.0,2007.0,3.9,12500.0,16.3,340.0,800.0,11.0,17.83,,,,,
354.0,29.0,96.0,48.0,2.0,6.0,339950.0,2007.0,4.47,14780.0,16.2,725.0,900.0,19.0,18.59,1.1,4.6,1350.0,145.0,3.4
355.0,29.0,97.0,48.0,2.0,15.0,389900.0,2007.0,4.29,16300.0,15.52,675.0,1300.0,6.0,19.15,1.8,3.3,3359.0,113.0,2.8
